NOMBRE	TIPO_ENTIDAD	RELACIONADO CON	TIPO_RELACION	PUESTO
	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	shareholder	
Javier León	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	boardmember	Presidente
	persona	ARI Arquitectura e Ingeniería S.A. DE C.V. 	boardmember	Vicepresidente
Infraestructura Peninsular, S.A DE C.V. 	empresa			
	empresa	Infraestructura Peninsular, S.A DE C.V. 	parent	
	empresa	Infraestructura Peninsular, S.A DE C.V. 	shareholder	
	empresa	Infraestructura Peninsular, S.A DE C.V. 	shareholder	
	persona	Infraestructura Peninsular, S.A DE C.V. 	boardmember	Presidente
	persona	Infraestructura Peninsular, S.A DE C.V. 	boardmember	Vicepresidente
AZVINDI FERROVIARIO, S.A. DE C.V.	empresa			
Construcciones Urales S.A de C.V. 	empresa	Grupo Azvi, S.L. 		
Grupo Azvi, S.L. 	empresa	Construcciones Urales S.A de C.V. 	parent	
	empresa	Grupo Azvi, S.L. 	shareholder	
	empresa	Grupo Azvi, S.L. 	shareholder	
Manuel Contreras Ramos	persona	Grupo Azvi, S.L. 	boardmember	Presidente 
Manuel Contreras Caro	persona	Grupo Azvi, S.L. 	boardmember	Vicepresidente
AZVINDI FERROVIARIO, S.A. DE C.V.	empresa			
GAMI Ingeniería e Instalaciones S.A de C.V. 	empresa 	AZVINDI FERROVIARIO, S.A. DE C.V.	parent	
Grupo Indi S.A de C.V. 	empresa	GAMI Ingeniería e Instalaciones S.A de C.V. 	parent	
	empresa	Grupo Indi S.A de C.V. 	shareholder	
	empresa	Grupo Indi S.A de C.V. 	shareholder	
Manuel G. Muñozcano	persona	Grupo Indi S.A de C.V. 	boardmember	Presidente 
	persona	Grupo Indi S.A de C.V. 	boardmember	Vicepresidente
Consultoría Integral en Ingeniería S.A. DE C.V. 	empresa		parent	
Consultoría Integral en Ingeniería S.A. DE C.V. 	empresa	Consultoría Integral en Ingeniería S.A. DE C.V. 	parent	
	empresa	Consultoría Integral en Ingeniería S.A. DE C.V. 	shareholder	
